variable,group,question,expected_sign,active_n_daily_63d
r_x_d,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × SPY drawdown depth: -z(SPY drawdown),1.0,4984
r_x_vh,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × High VIX: z(VIX 3Y percentile),1.0,4780
r_x_vr,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × VIX relief: -z(VIX 21d change),,5010
r_x_g63,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × G-D trailing 63d relative strength,,2300
r_x_g126,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × G-D trailing 126d relative strength,,2237
r_x_cs,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × Credit stress level: z(BAA-10Y spread),1.0,5010
r_x_ce,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × Credit relief: -z(BAA-10Y spread 21d change),,5010
r_x_cg,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × Credit quality gap: z(BAA spread - AAA spread),,5010
r_x_hys,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × HY ETF stress: z(HYG 252d drawdown depth),1.0,3490
r_x_hyr,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × HY ETF relief: z(HYG/LQD 21d relative return),,3594
r_x_lqs,1_all_pairwise_directional,Rate relief: -z(10Y yield 21d change) × IG credit stress: z(LQD/SHY 21d weakness),1.0,3594
d_x_vh,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × High VIX: z(VIX 3Y percentile),,4754
d_x_vr,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × VIX relief: -z(VIX 21d change),1.0,4984
d_x_g63,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × G-D trailing 63d relative strength,,2300
d_x_g126,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × G-D trailing 126d relative strength,,2237
d_x_cs,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × Credit stress level: z(BAA-10Y spread),,5005
d_x_ce,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × Credit relief: -z(BAA-10Y spread 21d change),1.0,4984
d_x_cg,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × Credit quality gap: z(BAA spread - AAA spread),,5005
d_x_hys,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × HY ETF stress: z(HYG 252d drawdown depth),,3489
d_x_hyr,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × HY ETF relief: z(HYG/LQD 21d relative return),1.0,3592
d_x_lqs,1_all_pairwise_directional,SPY drawdown depth: -z(SPY drawdown) × IG credit stress: z(LQD/SHY 21d weakness),,3592
vh_x_vr,1_all_pairwise_directional,High VIX: z(VIX 3Y percentile) × VIX relief: -z(VIX 21d change),1.0,4780
vh_x_g63,1_all_pairwise_directional,High VIX: z(VIX 3Y percentile) × G-D trailing 63d relative strength,,2300
vh_x_g126,1_all_pairwise_directional,High VIX: z(VIX 3Y percentile) × G-D trailing 126d relative strength,,2237
vh_x_cs,1_all_pairwise_directional,High VIX: z(VIX 3Y percentile) × Credit stress level: z(BAA-10Y spread),,4780
vh_x_ce,1_all_pairwise_directional,High VIX: z(VIX 3Y percentile) × Credit relief: -z(BAA-10Y spread 21d change),1.0,4780
vh_x_cg,1_all_pairwise_directional,High VIX: z(VIX 3Y percentile) × Credit quality gap: z(BAA spread - AAA spread),,4780
